iter	Logloss
0	0.6646373525
1	0.6428087175
2	0.6253960829
3	0.6123220871
4	0.6014745186
5	0.5924766998
6	0.5860838034
7	0.5803975004
8	0.575347432
9	0.5715941847
10	0.5681874617
11	0.5654520431
12	0.5630319225
13	0.5610512434
14	0.5597960088
15	0.558612501
16	0.5571782411
17	0.5561409087
18	0.5550711375
19	0.5541874632
20	0.5534204168
21	0.5525976162
22	0.5518845324
23	0.5513380617
24	0.5507537428
25	0.5502975637
26	0.5498095466
27	0.5494025636
28	0.5490010922
29	0.5487027652
30	0.5484327177
31	0.5481134489
32	0.5478970089
33	0.5476802915
34	0.547402751
35	0.5472351193
36	0.5470451114
37	0.5468942419
38	0.546708763
39	0.5464577372
40	0.5462790748
41	0.546182818
42	0.5460468775
43	0.5459316846
44	0.5458528376
45	0.5457237029
46	0.5456469307
47	0.545561236
48	0.5454601291
49	0.5453582186
50	0.5452094039
51	0.5450665468
52	0.5449419567
53	0.5448772413
54	0.5447725521
55	0.5447033013
56	0.5446168253
57	0.5445634126
58	0.5445120129
59	0.5444337369
60	0.544286598
61	0.54412864
62	0.5440576047
63	0.5439780999
64	0.5438942804
65	0.5438606457
66	0.5438258189
67	0.5437969526
68	0.5437029029
69	0.5436475034
70	0.5436064825
71	0.5435302731
72	0.5433937468
73	0.5433477768
74	0.5432533205
75	0.5432004607
76	0.5431661131
77	0.5431034503
78	0.5430691956
79	0.5430220658
80	0.5429894173
81	0.5429671459
82	0.5429354988
83	0.5428708081
84	0.542833511
85	0.5427816178
86	0.5427214648
87	0.5426551281
88	0.5426073772
89	0.5425607939
90	0.5424870851
91	0.5424354235
92	0.5423904313
93	0.5423400983
94	0.5422503855
95	0.5422117396
96	0.5421547652
97	0.542108027
98	0.5420798253
99	0.5420244233
100	0.5419672292
101	0.5419097498
102	0.5418663088
103	0.5417707513
104	0.5417189126
105	0.5416838815
106	0.5416288994
107	0.5415979354
108	0.5415622568
109	0.5415317867
110	0.5414679169
111	0.5414138199
112	0.5413792002
113	0.5413326736
114	0.5412935757
115	0.5412408373
116	0.5411710401
117	0.5411263084
118	0.5410957549
119	0.5410436925
120	0.5410067264
121	0.54099276
122	0.540966418
123	0.5409315345
124	0.5408882635
125	0.5408468532
126	0.5408059139
127	0.5407592367
128	0.5407110129
129	0.5406680401
130	0.5406347185
131	0.5405877572
132	0.5405489388
133	0.5405137199
134	0.5404895661
135	0.5404350972
136	0.5404059523
137	0.5403609348
138	0.5403048005
139	0.5402619551
140	0.5402312631
141	0.5401839832
142	0.5401655719
143	0.5400941604
144	0.5400641361
145	0.5400412452
146	0.5399989265
147	0.5399794262
148	0.5399337559
149	0.5398886938
150	0.5398662952
151	0.5398369394
152	0.539821448
153	0.5397920118
154	0.5397311561
155	0.5396961679
156	0.5396747471
157	0.5396380483
158	0.5396146534
159	0.5395941036
160	0.5395805055
161	0.539518614
162	0.5395013243
163	0.5394736314
164	0.5394436366
165	0.5393751533
166	0.5393456568
167	0.5393153809
168	0.5392733746
169	0.5392402411
170	0.539191679
171	0.5391680605
172	0.5391446465
173	0.5391251352
174	0.5390876348
175	0.5390549776
176	0.5390127877
177	0.5389940695
178	0.5389345288
179	0.5389091674
180	0.5388712105
181	0.5388217613
182	0.5387855097
183	0.5387530438
184	0.538738569
185	0.5386882418
186	0.5386545478
187	0.5386299033
188	0.5386078173
189	0.5385646156
190	0.5385464517
191	0.5385320474
192	0.5385093834
193	0.5384565481
194	0.5384415339
195	0.5384319704
196	0.5383953491
197	0.5383658046
198	0.5383482573
199	0.5383264224
200	0.5383029718
201	0.5382686178
202	0.5382490297
203	0.5382039021
204	0.5381776528
205	0.5381443129
206	0.538111838
207	0.538068703
208	0.5380585062
209	0.5380231606
210	0.5379867474
211	0.5379646127
212	0.5379351865
213	0.5379327821
214	0.5378693368
215	0.5378537515
216	0.5378320964
217	0.5378109811
218	0.5377663777
219	0.537747451
220	0.5377153788
221	0.5377013892
222	0.5376726479
223	0.5376417279
224	0.5376160716
225	0.5375879792
226	0.537552563
227	0.537519289
228	0.5374847988
229	0.5374829119
230	0.537450033
231	0.5374264428
232	0.5373890762
233	0.5373566757
234	0.537328592
235	0.5372585199
236	0.5372292094
237	0.5372124812
238	0.537187799
239	0.5371620376
240	0.5371426585
241	0.537123308
242	0.5371167561
243	0.5370778598
244	0.5370534924
245	0.5370234558
246	0.5369949531
247	0.5369640019
248	0.5369508127
249	0.5369045741
250	0.536888603
251	0.5368632358
252	0.5368441028
253	0.536795324
254	0.5367591163
255	0.5367342252
256	0.536716302
257	0.5366743546
258	0.5366641045
259	0.536611769
260	0.5365893754
261	0.5365824286
262	0.536553902
263	0.5365418736
264	0.5365046014
265	0.5364968125
266	0.5364656026
267	0.5364410073
268	0.5364238052
269	0.5363964679
270	0.5363750629
271	0.5363549894
272	0.5363450834
273	0.536331581
274	0.5363088863
275	0.5362837459
276	0.5362653644
277	0.5362199257
278	0.5361917776
279	0.5361633918
280	0.5361258458
281	0.5361119873
282	0.536099875
283	0.5360746157
284	0.5360503336
285	0.5360257058
286	0.5360114613
287	0.5359930994
288	0.5359844329
289	0.5359720592
290	0.535955586
291	0.5359448181
292	0.5359223825
293	0.5359066535
294	0.5358754883
295	0.5358510797
296	0.5358232036
297	0.5358130454
298	0.5357902065
299	0.5357646043
300	0.5357518169
301	0.5357305414
