iter	Logloss
0	0.6298857198
1	0.5802026455
2	0.547298093
3	0.5180765202
4	0.4958117317
5	0.4823187186
6	0.4649916284
7	0.460833589
8	0.4496078621
9	0.4415786083
10	0.4342604599
11	0.4264364456
12	0.4157811762
13	0.4067853138
14	0.40001386
15	0.3961654408
16	0.3903932871
17	0.3834226895
18	0.3785611661
19	0.3740104872
20	0.3689720173
21	0.3665555898
22	0.3629538346
23	0.3603199028
24	0.3581765451
25	0.3558283141
26	0.3515916968
27	0.3471428368
28	0.3452153553
29	0.3417721304
30	0.3393894001
31	0.3377870613
32	0.334592655
33	0.3293489067
34	0.3268327732
35	0.3239980386
36	0.3188732685
37	0.3179022412
38	0.3160154759
39	0.3125202666
40	0.3112872856
41	0.3080386971
42	0.3062704354
43	0.3045487754
44	0.3015577776
45	0.2995397241
46	0.2980588095
47	0.297286223
48	0.2964422477
49	0.2940509964
50	0.2924513037
51	0.2913720934
52	0.2884639328
53	0.28639988
54	0.2852774563
55	0.2830409351
56	0.2822735638
57	0.2799091259
58	0.2779077843
59	0.2772542532
60	0.275609367
61	0.2746491654
62	0.2732905443
63	0.2717214938
64	0.2696047701
65	0.2690360452
66	0.2677940357
67	0.2657900949
68	0.2644123598
69	0.2619653903
70	0.2611922118
71	0.2594738024
72	0.2582346811
73	0.2567411927
74	0.2556884304
75	0.2537080345
76	0.2527317236
77	0.2521755269
78	0.250676923
79	0.2497468902
80	0.2474625565
81	0.2463740138
82	0.24472185
83	0.2442798876
84	0.2427371124
85	0.2413602501
86	0.2396118254
87	0.2382920809
88	0.2374424104
89	0.2361308717
90	0.2347223318
91	0.2335092375
92	0.2328006304
93	0.2307285527
94	0.2289936988
95	0.2285794277
96	0.2271130647
97	0.2259199202
98	0.2256083004
99	0.2244543638
100	0.2230438744
101	0.2212121381
102	0.2189044724
103	0.2183405674
104	0.2172717758
105	0.2164075032
106	0.2147745678
107	0.2145007406
108	0.2137474822
109	0.2130541401
110	0.2119507514
111	0.2109795123
112	0.2099004968
113	0.2088829945
114	0.2078743785
115	0.2067319251
116	0.2064686126
117	0.2051432563
118	0.2035283154
119	0.2021060444
120	0.2009799974
121	0.199301938
122	0.1988914939
123	0.1981025659
124	0.1973790403
125	0.1955774866
126	0.1947098906
127	0.1938810491
128	0.1924878043
129	0.1906085176
130	0.1888189381
131	0.1870583183
132	0.1859595622
133	0.184954347
134	0.1840383582
135	0.1829089168
136	0.1824014088
137	0.1814704084
138	0.180906075
139	0.1801058468
140	0.1788464296
141	0.1783277959
142	0.1773557025
143	0.1765624906
144	0.175974272
145	0.1755806577
146	0.1747129151
147	0.1737496999
148	0.172883962
149	0.172068308
150	0.1718039339
151	0.1707401299
152	0.1695640999
153	0.1688381185
154	0.1680665769
155	0.167126373
156	0.1655199278
157	0.1643759928
158	0.1636105768
159	0.1630468344
160	0.1621894413
161	0.1615725632
162	0.1614338003
163	0.1607623497
164	0.1603543961
165	0.159605726
166	0.159268189
167	0.1585625542
168	0.1574251576
169	0.1567899058
170	0.156131935
171	0.1554571913
172	0.1548406749
173	0.1540672499
174	0.153564055
175	0.1524821237
176	0.1512930114
177	0.1509666571
178	0.1502569226
179	0.1496161423
180	0.1492520069
181	0.148335141
182	0.1475746845
183	0.1465566685
184	0.145397952
185	0.1452920212
186	0.145187056
187	0.1446517443
188	0.1441711257
189	0.1432024171
190	0.142444341
191	0.1412776429
192	0.1407104259
193	0.1398726094
194	0.1390429949
195	0.1386024974
196	0.1380828445
197	0.1370004125
198	0.1357758291
199	0.1348046277
200	0.1339342561
201	0.1332245156
202	0.1328741835
203	0.1325972056
204	0.1315437477
205	0.1303871155
206	0.12978143
207	0.1291622048
208	0.1287275541
209	0.1280682235
210	0.1276413135
211	0.1270852967
212	0.1267808727
213	0.1262338366
214	0.1256932103
215	0.1251098164
216	0.1248705198
217	0.1247750027
218	0.1247047987
219	0.124214204
220	0.1238225425
221	0.1228946256
222	0.1228296927
223	0.1222980884
224	0.1217553264
225	0.1209973112
226	0.1205570111
227	0.1200871965
228	0.1199412462
229	0.1196449576
230	0.1191359095
231	0.1187318751
232	0.1182942618
233	0.1172346387
234	0.1170444099
235	0.1169529774
236	0.1164640292
237	0.1159688896
238	0.1152977943
239	0.1147569731
240	0.1140373365
241	0.1136452927
242	0.1132955343
243	0.1126481253
244	0.1121554296
245	0.1119298041
246	0.111724267
247	0.1114212571
248	0.1110450837
249	0.1107070446
250	0.1101914122
251	0.1099451641
252	0.1095012529
253	0.1089813107
254	0.1081757319
255	0.1077972038
256	0.1073328052
257	0.1069048315
258	0.1064877345
259	0.1058744726
260	0.1054812963
261	0.1046839863
262	0.1042194981
263	0.1032418344
264	0.1026440691
265	0.1023041184
266	0.1021557299
267	0.1017437728
268	0.1016999005
269	0.1014727195
270	0.1009861587
271	0.1004211407
272	0.100061142
273	0.09968605494
274	0.09911066513
275	0.09877456602
276	0.09816829224
277	0.09717645779
278	0.09696006775
279	0.09637339355
280	0.09607890447
281	0.09588935922
282	0.09535349479
283	0.09491459351
284	0.09445556702
285	0.09434126489
286	0.09400690553
287	0.09356879241
288	0.09316665681
289	0.09294925837
