iter	Passed	Remaining
0	59	58969
1	60	30406
2	62	20816
3	64	16015
4	65	13075
5	66	11088
6	68	9656
7	68	8543
8	69	7680
9	70	6993
10	71	6424
11	72	5949
12	72	5538
13	73	5189
14	74	4887
15	75	4623
16	75	4390
17	76	4179
18	77	3990
19	77	3820
20	78	3666
21	79	3528
22	80	3410
23	81	3297
24	81	3197
25	82	3095
26	83	2992
27	83	2901
28	84	2827
29	85	2758
30	86	2693
31	86	2631
32	87	2566
33	88	2508
34	89	2457
35	89	2407
36	90	2358
37	91	2310
38	91	2265
39	92	2221
40	93	2182
41	94	2144
42	94	2109
43	95	2073
44	96	2038
45	96	2006
46	97	1977
47	98	1945
48	98	1912
49	98	1880
50	99	1850
51	99	1821
52	100	1795
53	101	1771
54	101	1746
55	102	1724
56	102	1702
57	103	1681
58	104	1660
59	104	1640
60	105	1619
61	105	1600
62	106	1581
63	106	1562
64	107	1544
65	107	1527
66	108	1511
67	109	1503
68	110	1487
69	110	1471
70	111	1456
71	111	1441
72	112	1426
73	112	1412
74	113	1398
75	113	1384
76	114	1371
77	114	1358
78	115	1345
79	115	1333
80	116	1320
81	116	1309
82	117	1297
83	117	1285
84	118	1275
85	119	1264
86	119	1254
87	120	1243
88	120	1233
89	120	1222
90	121	1212
91	121	1202
92	122	1193
93	122	1183
94	123	1174
95	123	1165
96	124	1156
97	124	1147
98	125	1138
99	125	1129
100	125	1120
101	126	1111
102	126	1103
103	127	1095
104	127	1087
105	128	1079
106	128	1072
107	128	1064
108	129	1057
109	129	1049
110	130	1042
111	130	1035
112	130	1027
113	131	1020
114	131	1013
115	132	1007
116	132	1000
117	132	993
118	133	987
119	133	980
120	134	974
121	134	969
122	135	963
123	135	957
124	136	953
125	136	947
126	137	942
127	137	936
128	137	930
129	138	925
130	138	919
131	139	916
132	139	911
133	140	905
134	140	900
135	140	894
136	141	889
137	141	884
138	142	879
139	142	874
140	142	869
141	143	864
142	143	859
143	143	854
144	144	850
145	144	845
146	144	841
147	145	836
148	145	832
149	146	827
150	146	822
151	146	818
152	146	813
153	147	808
154	147	804
155	147	799
156	148	795
157	148	790
158	148	786
